1,144587,167205,27151, 336263
2,58847,305282,130126, 15443
3,32006,22408,58843, 163532
4,24135,2841,21864, 63392
5,32834,26817,60100, 175094
6,17095,114285,69630, 72981
7,55520,84034,42870, 219160
8,24944,234715,371679, 167776
9,61053,32764,40675, 219026
10,26581,126230,3157, 470312
11,34869,19542,135897, 76801
12,26591,81816,178134, 386615
13,103670,213992,25452, 929419
14,62171,34577,82076, 14148
15,4611,763,146462, 316013
16,22846,12501,82707, 702124
17,8854,10102,15409, 231607
18,123254,25668,62870, 520330
19,16967,7453,19029, 41100
20,43030,83281,62465, 293345
21,2485,123769,40498, 214910
22,1748,133622,186686, 589914
23,18127,121950,132236, 250150
24,38611,11711,12111, 258231
25,23939,116972,2804, 710286
26,19655,71999,85711, 133034
27,35734,26544,123739, 32725
28,36263,64826,61736, 187072
29,8337,36735,31568, 485905
30,50446,2359,152488, 241572
31,22093,160888,92673, 240293
32,26791,32424,53436, 56529
33,1710,16114,131167, 87319
34,10874,146153,13151, 548937
35,79381,17089,23848, 268610
36,27632,55028,18763, 40985
37,60115,33818,329174, 134859
38,7095,410507,22891, 780878
39,11793,149128,25276, 171205
40,31463,356523,930, 750471
41,14027,36248,62134, 399357
42,12221,182681,63779, 238498
43,25772,166261,113437, 87184
44,23764,2753,52372, 243319
45,25848,127621,226370, 110572
46,26966,361458,1136, 104809
47,101975,30595,33819, 268786
48,34868,6410,17632, 286843
49,15645,3144,83519, 684748
50,532,20534,20611, 135237
51,26791,276916,55069,22410
52,10445,108071,57195,157044
53,12666,2952,120915,104410
54,38053,71900,380571,625666
55,65511,127447,64206,45407
56,15182,27819,25849,109380
57,36554,99017,236017,428002
58,40581,79283,25471,121894
59,19327,146748,48032,142486
60,53053,267260,78911,286318
61,48222,74863,74068,565065
62,2079,277953,117392,122112
63,30213,451,256976,168395
64,107390,217308,758,95844
65,33898,22786,17165,402128
66,105354,7103,62467,415512
67,50625,5933,55797,6484
68,937,331492,95486,722749
69,51572,154777,26823,108498
70,22906,32900,12843,300478
71,3806,349204,109479,440377
72,16527,56753,18954,548851
73,52412,225520,167567,163543
74,7823,13066,11504,267425
75,30760,77484,97181,213030
76,38229,65178,99440,340119
77,43483,114274,186048,153310
78,4069,50541,54512,31736
79,40086,1471,110009,230871
80,81976,2471,236438,639866
81,545,173935,27497,187936
82,44702,55684,73641,8842
83,4243,139301,139037,90313
84,21764,37903,30107,766008
85,48053,19477,57356,99100
86,20653,263971,12645,162684
87,53231,22105,165202,387226
88,43518,100542,96210,238277
89,50404,212128,1735,56058
90,23720,101134,29449,568398
91,29511,1538,55000,36874
92,17811,62066,72817,7843
93,55391,200045,9409,254686
94,16815,34499,44754,409967
95,92468,34827,104059,550569
96,13489,145508,22480,81439
97,44225,142560,44321,89612
98,3438,16241,34906,70759
99,18519,29101,267611,27049
100,28584,171871,86329,580140
